time_s,track_id,lat_deg,lon_deg,alt_m,range_m,azimuth_deg,elevation_deg,radial_velocity_mps,snr_db,rcs_dbsm,x_ecef_m,y_ecef_m,z_ecef_m,vx_ecef_mps,vy_ecef_mps,vz_ecef_mps
0.0,1,38.907192,-77.036871,0.0,0.0,0.0,0.0,0.0,202.920031787519,-4.695282920245568,1112127.605681534,-4831336.404455195,4001374.9806369063,1081.5580507659624,-233.5080228465015,1400.257317888973
0.25,1,38.9089777745623,-77.03397716833702,311.03184225410223,445.9514243263565,51.58375412214218,44.221878161904144,1782.9507550272426,100.90962721846134,-4.249548804193543,1112397.9416986683,-4831394.549063986,4001724.852492258,1081.130086310451,-231.648847475651,1398.7175249226466
0.5,1,38.91076330369109,-77.0310834730696,621.4667980652303,891.4754857244699,51.58375412212615,44.193647723807864,1781.2419527841203,84.39126477784374,-6.951035188653837,1112668.1707246893,-4831452.228878933,4002074.339399368,1080.7021218549392,-229.78967210480062,1397.17773195632
0.75,1,38.91254858793074,-77.02818991336777,931.3048650957644,1336.5725091362415,51.583754122161054,44.16539021303427,1779.5344515583467,79.3278138460119,-4.872159596832715,1112938.292759596,-4831509.4439000385,4002423.4413582357,1080.2741573994276,-227.93049673395012,1395.6379389899935
1.0,1,38.914333627825414,-77.02529648840172,1240.5460410211235,1781.2428201294026,51.58375412213752,44.13710560421167,1777.8282538456308,73.26498707313743,-5.016801157504289,1113208.307803389,-4831566.1941273,4002772.1583688627,1079.846192943916,-226.07132136309974,1394.0981460236671
1.25,1,38.9161184239189,-77.02240319734177,1549.190323524177,2225.4867448936207,51.583754122143375,44.108793872247716,1776.1233621460656,72.65858339296327,-4.120602025137171,1113478.2158560678,-4831622.47956072,4003120.4904312477,1079.4182284884046,-224.21214599224925,1392.5583530573404
1.5,1,38.9179029767548,-77.01951003935842,1857.2377102971077,2669.3046102454205,51.58375412214144,44.0804549918946,1774.4197789641557,70.1985569521293,-4.933969302438784,1113748.016917633,-4831678.300200297,4003468.4375453913,1078.9902640328928,-222.35297062139887,1391.018560091014
1.75,1,38.91968728687634,-77.01661701362228,2164.688199043274,3112.6967436278796,51.58375412213934,44.05208893797474,1772.7175068088034,63.555942620648395,-4.532490657747954,1114017.7109880843,-4831733.65604603,4003815.9997112933,1078.5622995773813,-220.49379525054837,1389.4787671246875
2.0,1,38.92147135482653,-77.01372411930411,2471.541787474416,3555.663473111545,51.583754122136725,44.02369568533087,1771.0165481933172,61.04540878613082,-4.631249215917501,1114287.2980674217,-4831788.547097921,4004163.1769289537,1078.1343351218698,-218.63461987969788,1387.938974158361
2.25,1,38.923255181148086,-77.01083135557491,2777.798473311588,3998.2051273961706,51.58375412213411,43.9952752087724,1769.3169056354202,60.82554530699429,-4.121549698692728,1114556.7781556454,-4831842.973355969,4004509.9691983727,1077.706370666358,-216.7754445088475,1386.3991811920346
2.5,1,38.92503876638341,-77.0079387216057,3083.4582542879507,4440.3220358109165,51.58375412214201,43.966827483158234,1767.6185816572417,57.74156216693258,-5.18486236354526,1114826.151252755,-4831896.934820176,4004856.3765195496,1077.2784062108465,-214.916269137997,1384.8593882257078
2.75,1,38.92682211107468,-77.0050462165677,3388.5211281422526,4882.014528317076,51.58375412214065,43.93835248330164,1765.9215787853375,57.14697833610967,-3.7774586613259697,1115095.4173587507,-4831950.43149054,4005202.3988924855,1076.850441755335,-213.05709376714663,1383.3195952593815
3.0,1,38.92860521576377,-77.00215383963234,3692.987092622556,5323.282935506283,51.58375412214036,43.9098501840371,1764.2258995506818,55.2485509076568,-5.428327822163107,1115364.5764736326,-4832003.463367059,4005548.036317179,1076.4224772998234,-211.19791839629613,1381.779802293055
3.25,1,38.93038808099225,-76.99926158997113,3996.8561454946175,5764.127588606611,51.58375412214269,43.88132056025466,1762.5315464886628,55.30154471553766,-4.467690814446652,1115633.6285974006,-4832056.030449738,4005893.288793632,1075.9945128443119,-209.33874302544575,1380.2400093267283
3.5,1,38.93217070730147,-76.99636946675568,4300.128284521401,6204.548819476929,51.58375412213775,43.852763586763174,1760.8385221391118,54.15323376254158,-4.587267388404012,1115902.5737300548,-4832108.132738572,4006238.1563218427,1075.5665483888001,-207.47956765459526,1378.700216360402
3.75,1,38.93395309523243,-76.99347746915787,4602.80350748729,6644.54696061412,51.58375412213866,43.82417923845929,1759.1468290462758,51.288554960671995,-2.8583523991295388,1116171.411871595,-4832159.770233564,4006582.638901812,1075.1385839332886,-205.62039228374488,1377.1604233940755
4.0,1,38.93573524532593,-76.99058559634965,4904.881812176667,7084.122345150625,51.58375412213729,43.79556749019468,1757.4564697588446,49.3610124237823,-5.512242729071537,1116440.1430220215,-4832210.942934713,4006926.73653354,1074.710619477777,-203.76121691289438,1375.620630427749
4.25,1,38.93751715812241,-76.98769384750308,5206.363196390681,7523.275306856567,51.583754122141954,43.76692831685794,1755.767446829938,52.20166639787464,-4.384020577424504,1116708.7671813339,-4832261.650842021,4007270.4492170257,1074.2826550222653,-201.9020415420439,1374.0808374614226
4.5,1,38.93929883416215,-76.98480222179043,5507.247657932341,7962.006180141709,51.583754122138146,43.73826169330998,1754.079762817125,47.27878663210054,-5.113947457654875,1116977.2843495323,-4832311.893955485,4007613.7769522704,1073.8546905667538,-200.0428661711935,1372.5410444950958
4.75,1,38.941080273985044,-76.98191071838407,5807.535194623284,8400.315300055378,51.583754122139055,43.70956759445068,1752.3934202824091,49.32936208315357,-5.8244812156912396,1117245.6945266174,-4832361.672275106,4007956.7197392737,1073.4267261112423,-198.18369080034302,1371.0012515287694
5.0,1,38.94286147813075,-76.97901933645655,6107.225804287009,8838.20300228688,51.583754122140476,43.68084599517632,1750.7084217922422,48.231749635291905,-4.256745828796558,1117513.9977125882,-4832410.985800886,4008299.277578035,1072.9987616557307,-196.32451542949264,1369.4614585624429
